Columna2;CODIGODEPTO;NOMBREDEPTO;VICEPRESIDENCIANIVEL1;VICEPRESIDENCIANIVEL2
202107;1330243;DIRECCIÓN PROYECTOS SUBESTACIONES Y LÍNEAS 1;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA PROYECTOS SUBESTACIONES Y LÍNEAS
202107;1980250;GERENCIA PROYECTOS AGUAS, SANEAMIENTO, GAS Y LOCATIVOS;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA PROYECTOS AGUAS, SANEAMIENTO, GAS Y LOCATIVOS
202107;1411050;GERENCIA PROVISIÓN AGUAS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
202107;1989070;DIRECCIÓN SOLUCIONES DE TI;VICEPRESIDENCIA EJECUTIVA NUEVOS NEGOCIOS, INNOVACIÓN Y TECNOLOGÍA;GERENCIA TECNOLOGÍA DE INFORMACIÓN
202107;1411025;DIRECCIÓN PLANEACIÓN AGUA Y SANEAMIENTO;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
202107;1980608;UNIDAD CUMPLIMIENTO;VICEPRESIDENCIA RIESGOS;UNIDAD CUMPLIMIENTO
202107;1982100;DIRECCIÓN REGULACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;GERENCIA REGULACIÓN
202107;1980815;VICEPRESIDENCIA ESTRATEGIA Y PLANEACIÓN;VICEPRESIDENCIA ESTRATEGIA Y PLANEACIÓN;VICEPRESIDENCIA ESTRATEGIA Y PLANEACIÓN
202107;1980173;DIRECCIÓN MERCADOS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;DIRECCIÓN MERCADOS
202107;1980817;UNIDAD DESEMPEÑO CORPORATIVO Y EMPRESARIAL;VICEPRESIDENCIA ESTRATEGIA Y PLANEACIÓN;UNIDAD DESEMPEÑO CORPORATIVO Y EMPRESARIAL
202107;1980825;GERENCIA DESARROLLO SOSTENIBLE;VICEPRESIDENCIA ESTRATEGIA Y PLANEACIÓN;GERENCIA DESARROLLO SOSTENIBLE
202107;1989025;DIRECCIÓN GESTIÓN DEMANDA Y SERVICIOS DE TI;VICEPRESIDENCIA EJECUTIVA NUEVOS NEGOCIOS, INNOVACIÓN Y TECNOLOGÍA;GERENCIA TECNOLOGÍA DE INFORMACIÓN
202107;1980631;DIRECCIÓN GESTIÓN DE CAPITALES;VICEPRESIDENCIA EJECUTIVA FINANZAS E INVERSIONES;DIRECCIÓN GESTIÓN DE CAPITALES
202107;1727192;UNIDAD ATENCIÓN TÉCNICA DE CLIENTES GAS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GAS
202107;1337022;UNIDAD MANTENIMIENTO REDES DISTRIBUCIÓN NORTE;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1980685;GERENCIA GESTIÓN DE NEGOCIOS E INVERSIONES;VICEPRESIDENCIA EJECUTIVA FINANZAS E INVERSIONES;GERENCIA GESTIÓN DE NEGOCIOS E INVERSIONES
202107;1312052;UNIDAD OPERACIONES SIERRA DORADA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
202107;1980110;VICEPRESIDENCIA COMERCIAL;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1337005;UNIDAD GESTIÓN AMBIENTAL Y SOCIAL T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1337382;UNIDAD PLANEACIÓN DE RECURSOS T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1337027;UNIDAD ATENCIÓN TÉCNICA CLIENTES DISTRIBUCIÓN;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1511063;UNIDAD TRATAMIENTO GESTIÓN AGUAS RESIDUALES;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
